title,year,length,budget,rating,votes,mpaa,genre
Everyone Says I Love You,1996,101,20,6.9,7314,R,RomCom
Freaky Friday,2003,97,26,6.9,8052,PG,Comedy Drama
"Good Girl, The",2002,93,5,6.9,8254,R,Comedy Drama
"Great White Hope, The",1970,103,6,6.9,369,PG-13,Drama
"Hitchhiker's Guide to the Galaxy, The",2005,110,50,6.9,7644,PG,Comedy
"House of Mirth, The",2000,140,10,6.9,2167,PG,Romance Drama
"Italian Job, The",2003,111,60,6.9,18496,PG-13,Action
Jay and Silent Bob Strike Back,2001,104,22,6.9,24211,R,Comedy
Jesus' Son,1999,107,2.5,6.9,2291,R,Drama
Little Secrets,2001,97,2.5,6.9,457,PG,Drama
Lovely & Amazing,2001,91,0.25,6.9,1813,R,Comedy Drama
Manny & Lo,1996,88,0.5,6.9,395,R,Drama
Moonlight Mile,2002,117,20,6.9,3479,PG-13,Romance Drama
Mumford,1999,112,28,6.9,3384,R,Comedy Drama
My Big Fat Greek Wedding,2002,95,5,6.9,21675,PG,RomCom
Nil by Mouth,1997,128,9,6.9,1159,R,Drama
Panic,2000,88,1,6.9,2524,R,Comedy Drama
"Pledge, The",2001,123,45,6.9,9852,R,Drama
"Prince of Egypt, The",1998,99,60,6.9,9212,PG,Animated
Radio,2003,109,35,6.9,3594,PG,Drama
Return to Me,2000,115,24,6.9,5057,PG,RomCom
Saints and Soldiers,2003,90,0.78,6.9,689,PG-13,Action Drama
"Shape of Things, The",2003,96,4,6.9,1816,R,Drama
"Shipping News, The",2001,111,35,6.9,7695,R,Romance Drama
Strange Days,1995,145,42,6.9,11869,R,Action Drama
Terminator 3: Rise of the Machines,2003,109,175,6.9,32111,R,Action
"Time to Kill, A",1996,149,40,6.9,15577,R,Drama
Titanic,1997,194,200,6.9,90195,PG-13,Romance Drama
Tumbleweeds,1999,102,0.312,6.9,1146,PG-13,Comedy Drama
Urbania,2000,106,0.225,6.9,1089,R,Drama
Vanilla Sky,2001,136,68,6.9,31250,R,Romance Drama
Walking Across Egypt,1999,100,4.5,6.9,247,PG-13,Drama
White Oleander,2002,109,16,6.9,4545,PG-13,Drama
Wilde,1997,118,10,6.9,2545,R,Drama
50 First Dates,2004,99,75,6.8,13497,PG-13,RomCom
8 Mile,2002,110,41,6.8,17900,R,Drama
All the Real Girls,2003,108,1,6.8,1745,R,Romance Drama
American Pie,1999,95,11,6.8,41126,R,Comedy
American Psycho,2000,102,8,6.8,21639,R,Drama
Artificial Intelligence: AI,2001,146,90,6.8,36623,PG-13,Drama
Avalon,2001,106,8,6.8,2723,R,Animated
Blade,1998,110,45,6.8,24372,R,Action
Boiler Room,2000,118,9,6.8,8586,R,Drama
"Bread, My Sweet, The",2001,105,0.6,6.8,257,PG-13,Romance Drama
Clockers,1995,129,25,6.8,3099,R,Drama
Confidence,2003,97,15,6.8,6168,R,Drama
"Curse of the Jade Scorpion, The",2001,103,26,6.8,5846,PG-13,Comedy Drama
"Deep End, The",2001,101,3,6.8,3524,R,Drama
Desperado,1995,106,7,6.8,17929,R,Action
Dom durakov,2002,104,2.5,6.8,382,R,Drama
From Dusk Till Dawn,1996,108,20,6.8,28473,R,Action Comedy
"Gift, The",2000,111,10,6.8,12440,R,Drama
GoldenEye,1995,130,80,6.8,22991,PG-13,Action
Happy Gilmore,1996,92,10,6.8,17746,PG-13,Comedy
"Importance of Being Earnest, The",2002,97,15,6.8,3598,PG,RomCom
"Intended, The",2002,110,3.8,6.8,40,R,Drama
Keeping the Faith,2000,128,30,6.8,11351,PG-13,RomCom
Lolita,1997,137,58,6.8,5757,R,Romance Drama
"Man from Elysian Fields, The",2001,106,6.5,6.8,1198,R,Drama
"Mask of Zorro, The",1998,136,65,6.8,18220,PG-13,Action Comedy
May,2002,93,1.7,6.8,3324,R,Drama
Men in Black,1997,98,90,6.8,53231,PG-13,Action Comedy
"Mudge Boy, The",2003,94,0.8,6.8,204,R,Drama
Mute Witness,1994,95,2,6.8,1202,R,Comedy
Nixon,1995,212,50,6.8,5837,R,Drama
Othello,1995,123,11,6.8,1852,R,Drama
"Outsiders, The",1983,91,10,6.8,7125,PG-13,Drama
"Patriot, The",2000,164,110,6.8,29665,R,Action Drama
Primary Colors,1998,143,65,6.8,7756,R,Comedy Drama
"Rainmaker, The",1997,135,40,6.8,8620,PG-13,Drama
Rob Roy,1995,133,28,6.8,6652,R,Action Drama
Rosewood,1997,140,31,6.8,1840,R,Action Drama
"Score, The",2001,124,68,6.8,16106,R,Drama
Simon Birch,1998,113,20,6.8,4612,PG,Comedy Drama
Spider,2002,94,8,6.8,5193,R,Drama
Stripes,1981,106,10,6.8,7406,R,Comedy
Veronica Guerin,2003,92,17,6.8,2688,R,Drama
"Walk to Remember, A",2002,101,11,6.8,7124,PG,Romance Drama
Welcome to Sarajevo,1997,103,9,6.8,1465,R,Drama
Without Limits,1998,117,25,6.8,1249,PG-13,Drama
10 Things I Hate About You,1999,97,16,6.7,19095,PG-13,RomCom
Auto Focus,2002,105,7,6.7,3276,R,Drama
Bandits,2001,123,80,6.7,12382,PG-13,RomCom
Beyond the Sea,2004,118,24,6.7,1051,PG-13,Drama
Breakdown,1997,95,36,6.7,7099,R,Action
Bringing Out the Dead,1999,121,32,6.7,13989,R,Drama
"Brother from Another Planet, The",1984,106,0.3,6.7,1133,R,Comedy Drama
Clueless,1995,97,20,6.7,16521,PG-13,RomCom
Cop Land,1997,116,15,6.7,12677,R,Drama
Courage Under Fire,1996,117,46,6.7,8884,R,Action Drama
Cradle Will Rock,1999,132,32,6.7,3375,R,Drama
"Emperor's Club, The",2002,109,12.5,6.7,3056,PG-13,Drama
Friday,1995,91,3.5,6.7,7020,R,Comedy Drama
Hearts in Atlantis,2001,101,31,6.7,6577,PG-13,Drama
Hellboy,2004,132,66,6.7,15565,PG-13,Action
Hit and Runway,1999,108,1.2,6.7,189,R,Comedy
How Harry Became a Tree,2001,99,6,6.7,115,R,Drama
Interview with the Assassin,2002,88,0.75,6.7,409,R,Drama
Jerry and Tom,1998,106,5,6.7,447,R,Comedy Drama
Jing cha gu shi III: Chao ji jing cha,1992,95,0.9,6.7,2024,R,Action Comedy
Lemony Snicket's A Series of Unfortunate Events,2004,108,125,6.7,8402,PG,Comedy
Love & Basketball,2000,124,15,6.7,2093,PG-13,Romance Drama
"Majestic, The",2001,156,72,6.7,8649,PG,Romance Drama
Next Stop Wonderland,1998,104,1,6.7,1467,R,RomCom
Old School,2003,92,24,6.7,14283,R,Comedy
"Otra conquista, La",1998,106,3.5,6.7,140,R,Drama
Pay It Forward,2000,123,40,6.7,13531,PG-13,Romance Drama
Raising Victor Vargas,2002,88,0.8,6.7,1785,R,RomCom
Ravenous,1999,108,12,6.7,5915,R,Comedy Drama
Romeo + Juliet,1996,120,14.5,6.7,22306,PG-13,Action Drama
"Rules of Attraction, The",2002,110,4,6.7,8552,R,RomCom
Rush Hour,1998,93,35,6.7,18336,PG-13,Action Comedy
Shanghai Noon,2000,110,55,6.7,12258,PG-13,Action Comedy
Snow Falling on Cedars,1999,127,36,6.7,4536,PG-13,Drama
Spanglish,2004,130,80,6.7,4698,PG-13,RomCom
Starship Troopers,1997,129,95,6.7,32618,R,Action
Tea with Mussolini,1999,117,12,6.7,2711,PG,Comedy Drama
"Thomas Crown Affair, The",1999,113,48,6.7,17220,R,RomCom
Under the Tuscan Sun,2003,113,18,6.7,4183,PG-13,RomCom
"X Files, The",1998,121,66,6.7,18314,PG-13,Action
Analyze This,1999,109,30,6.6,24521,R,Comedy
Anna and the King,1999,148,75,6.6,6739,PG-13,Romance Drama
Barbershop,2002,102,12,6.6,4943,PG-13,Comedy Drama
Blade II,2002,108,55,6.6,17139,R,Action
Blue Hill Avenue,2001,120,1.2,6.6,85,R,Drama
Changing Lanes,2002,99,45,6.6,12779,R,Drama
Chuck&Buck,2000,96,0.25,6.6,1919,R,Comedy Drama
Coach Carter,2005,136,30,6.6,1636,PG-13,Drama
Dark Blue,2002,118,15,6.6,3882,R,Action Drama
Dodgeball: A True Underdog Story,2004,92,20,6.6,14584,PG-13,Comedy
Dumb & Dumber,1994,101,16,6.6,27713,PG-13,Comedy
Fever Pitch,2005,98,39.69,6.6,1712,PG-13,RomCom
Finding Graceland,1998,106,10,6.6,504,PG-13,Drama
"Firm, The",1993,154,42,6.6,14708,R,Drama
Get on the Bus,1996,120,2.4,6.6,1142,R,Drama
He Got Game,1998,137,25,6.6,4198,R,Drama
Hidalgo,2004,136,78,6.6,7328,PG-13,Action Drama
Hurricane,1997,91,0.5,6.6,424,R,Drama
"Interpreter, The",2005,128,80,6.6,4678,PG-13,Drama
Intolerable Cruelty,2003,100,60,6.6,11967,PG-13,RomCom
James and the Giant Peach,1996,79,38,6.6,3144,PG,Animated
K-19: The Widowmaker,2002,140,100,6.6,8292,PG-13,Drama
Kingpin,1996,117,25,6.6,10643,PG-13,Comedy
Love Liza,2002,90,1,6.6,1588,R,Drama
Meet Joe Black,1998,178,90,6.6,16796,PG-13,Romance Drama
Men of Honor,2000,129,32,6.6,9684,R,Drama
Mission: Impossible,1996,110,75,6.6,33496,PG-13,Action
"Molly Maguires, The",1970,124,11,6.6,455,PG,Drama
Music of the Heart,1999,124,27,6.6,2348,PG,Drama
National Treasure,2004,131,100,6.6,12361,PG,Action
No Way Home,1996,99,4,6.6,328,R,Drama
Nurse Betty,2000,110,24,6.6,10441,R,RomCom
Poolhall Junkies,2002,94,4,6.6,1411,R,Drama
Private Parts,1997,109,20,6.6,9289,R,Comedy Drama
Ransom,1996,139,80,6.6,17678,R,Action Drama
Restoration,1995,117,18,6.6,1874,R,Drama
Ripley's Game,2002,112,30,6.6,2680,R,Drama
Serendipity,2001,90,28,6.6,10795,PG-13,RomCom
Session 9,2001,97,1.5,6.6,3718,R,Drama
Seven Years in Tibet,1997,139,70,6.6,9426,PG-13,Drama
Shooting Fish,1997,103,3,6.6,2701,PG,RomCom
Steamboy,2004,126,20,6.6,529,PG-13,Animated
"Sum of All Fears, The",2002,123,68,6.6,15835,PG-13,Action Drama
Swiri,1999,125,5,6.6,1704,R,Action
Things to Do in Denver When You're Dead,1995,115,8,6.6,5703,R,Romance Drama
Treasure Planet,2002,95,140,6.6,3724,PG,Animated
Unfaithful,2002,125,50,6.6,8713,R,Drama
"Village, The",2004,108,60,6.6,25729,PG-13,Drama
"Walk on the Moon, A",1999,105,14,6.6,1815,R,Romance Drama
Walking and Talking,1996,86,1,6.6,888,R,RomCom
War and Peace,1956,208,6,6.6,795,PG,Romance Drama
What Lies Beneath,2000,130,90,6.6,20584,PG-13,Drama
Anchorman: The Legend of Ron Burgundy,2004,104,26,6.5,11553,PG-13,Comedy
Anything Else,2003,108,18,6.5,3678,R,RomCom
Austin Powers: The Spy Who Shagged Me,1999,95,33,6.5,37019,PG-13,Action Comedy
Cherish,2002,99,1.5,6.5,743,R,Comedy Drama
Copycat,1995,123,20,6.5,7804,R,Drama
Crazy/Beautiful,2001,135,14,6.5,4503,PG-13,Romance Drama
Cruel Intentions,1999,97,11,6.5,25634,R,Romance Drama
Ella Enchanted,2004,96,35,6.5,2502,PG,RomCom
Eulogy,2004,91,10,6.5,773,R,Comedy Drama
"Family Man, The",2000,125,60,6.5,11220,PG-13,RomCom
Final Fantasy: The Spirits Within,2001,106,137,6.5,16451,PG-13,Animated
Freeway,1996,102,3,6.5,4961,R,Drama
Grace of My Heart,1996,116,5,6.5,982,R,Comedy Drama
"Home at the End of the World, A",2004,96,6.5,6.5,1693,R,Romance Drama
Hong faan kui,1996,91,7.5,6.5,4644,R,Action Comedy
"House of Yes, The",1997,85,1.5,6.5,2345,R,Comedy Drama
"Incredibly True Adventure of Two Girls in Love, The",1995,94,0.25,6.5,795,R,RomCom
"Knight's Tale, A",2001,132,41,6.5,15006,PG-13,Action Comedy
Liar Liar,1997,86,45,6.5,22969,PG-13,Comedy
Living Out Loud,1998,103,12,6.5,1774,R,RomCom
"Long Kiss Goodnight, The",1996,120,65,6.5,12516,R,Action Drama
Love and Other Catastrophes,1996,78,0.25,6.5,783,R,RomCom
Made,2001,94,5,6.5,4487,R,Comedy Drama
Marvin's Room,1996,98,23,6.5,4005,PG-13,Comedy Drama
Matilda,1996,102,36,6.5,4351,PG,Comedy Drama
Meet the Fockers,2004,115,80,6.5,11950,PG-13,Comedy
"Mummy, The",1999,124,76,6.5,36216,PG-13,Action Comedy
"Other Side of Heaven, The",2001,113,7,6.5,683,PG,Drama
Paint Your Wagon,1969,158,20,6.5,2011,PG-13,Comedy
Rat Race,2001,112,48,6.5,13913,PG-13,Comedy
"Rundown, The",2003,104,85,6.5,8067,PG-13,Action Comedy
Rush Hour 2,2001,86,90,6.5,16581,PG-13,Action Comedy
Shade,2003,101,6.8,6.5,1616,R,Drama
Sidewalks of New York,2001,108,1,6.5,1998,R,RomCom
Sinbad: Legend of the Seven Seas,2003,86,60,6.5,2340,PG,Animated
Sky Captain and the World of Tomorrow,2004,106,40,6.5,12579,PG,Action
Small Time Crooks,2000,94,18,6.5,6218,PG,RomCom
Soul Food,1997,114,7.5,6.5,1166,R,Comedy Drama
"SpongeBob SquarePants Movie, The",2004,90,30,6.5,2672,PG,Animated
Star Trek: Nemesis,2002,116,70,6.5,11785,PG-13,Action Drama
Summer of Sam,1999,142,22,6.5,8151,R,Romance Drama
THX 1138,1971,88,0.777,6.5,4274,R,Drama
Tuck Everlasting,2002,96,15,6.5,2055,PG,Romance Drama
Twin Peaks: Fire Walk with Me,1992,135,10,6.5,6927,R,Drama
U Turn,1997,125,19,6.5,10306,R,Drama
U-571,2000,116,62,6.5,15792,PG-13,Action Drama
While You Were Sleeping,1995,103,17,6.5,13035,PG,RomCom
13 Going On 30,2004,98,37,6.4,7859,PG-13,RomCom
Absolute Power,1997,121,50,6.4,7995,R,Drama
Ali,2001,165,107,6.4,9294,R,Drama
Any Given Sunday,1999,156,62,6.4,19531,R,Drama
Apt Pupil,1998,112,14,6.4,6728,R,Drama
Atlantis: The Lost Empire,2001,95,90,6.4,6323,PG,Animated
Bad Boys,1995,118,23,6.4,15326,R,Action Comedy
Beyond Rangoon,1995,100,23,6.4,1285,R,Drama
Big Trouble,2002,85,40,6.4,4088,PG-13,Comedy
Blast from the Past,1999,112,35,6.4,9483,PG-13,RomCom
Bowfinger,1999,97,55,6.4,15000,PG-13,Comedy
"Brothers McMullen, The",1995,98,0.0238,6.4,2325,R,Comedy Drama
Bruce Almighty,2003,101,81,6.4,23905,PG-13,RomCom
Cellular,2004,94,25,6.4,6182,PG-13,Action
"Civil Action, A",1998,112,60,6.4,6847,PG-13,Drama
Clay Pigeons,1998,104,8,6.4,2658,R,Comedy Drama
Code 46,2003,92,7.5,6.4,2094,R,Romance Drama
Conspiracy Theory,1997,135,75,6.4,15470,R,Romance Drama
CQ,2001,91,7,6.4,1315,R,Comedy Drama
Dancing in September,2000,102,0.85,6.4,166,R,Drama
Die Another Day,2002,133,142,6.4,22136,PG-13,Action
Drive,1997,117,3.5,6.4,1086,R,Action Comedy
"Game of Their Lives, The",2005,101,20,6.4,125,PG,Drama
"Ghost and the Darkness, The",1996,109,55,6.4,8360,R,Action Drama
God's Army,2000,108,0.3,6.4,354,PG,Drama
"Happy, Texas",1999,98,1.7,6.4,3453,PG-13,Comedy
"Horse Whisperer, The",1998,170,60,6.4,6744,PG-13,Romance Drama
Incident at Loch Ness,2004,94,1.4,6.4,251,PG-13,Comedy
Intermission,2003,102,5,6.4,1971,R,Comedy Drama
Jersey Girl,2004,102,35,6.4,6853,PG-13,Comedy Drama
John Q,2002,116,36,6.4,8952,PG-13,Drama
Kiss the Girls,1997,111,27,6.4,9041,R,Drama
"Ladykillers, The",2004,104,35,6.4,10580,R,Comedy
"Last Castle, The",2001,131,60,6.4,7233,R,Action Drama
Legally Blonde,2001,96,18,6.4,17572,PG-13,Comedy
"Legend of Bagger Vance, The",2000,126,60,6.4,7123,PG-13,RomCom
Levity,2003,100,7.5,6.4,1459,R,Drama
"Life Less Ordinary, A",1997,103,12,6.4,8209,R,RomCom
Midnight in the Garden of Good and Evil,1997,155,30,6.4,8517,R,Drama
Mutant Aliens,2001,81,0.2,6.4,223,R,Animated
My Best Friend's Wedding,1997,105,46,6.4,16648,PG-13,RomCom
"Mystery, Alaska",1999,119,28,6.4,5440,R,Comedy Drama
Outbreak,1995,127,50,6.4,13796,R,Drama
Pecker,1998,87,6,6.4,4013,R,Comedy
Primer,2004,77,0.007,6.4,1466,PG-13,Drama
Rare Birds,2001,99,5,6.4,471,R,Comedy Drama
Robots,2005,91,75,6.4,4089,PG,Animated
Slums of Beverly Hills,1998,92,5,6.4,2914,R,Comedy Drama
Star Wars: Episode I - The Phantom Menace,1999,133,115,6.4,84488,PG,Action
Titan A.E.,2000,94,75,6.4,9373,PG,Animated
Tomorrow Never Dies,1997,119,110,6.4,19397,PG-13,Action
Under Suspicion,2000,111,25,6.4,3718,R,Drama
Vatel,2000,125,36,6.4,1322,PG-13,Romance Drama
What Women Want,2000,127,65,6.4,20138,PG-13,RomCom
Where the Heart Is,2000,120,15,6.4,5042,PG-13,RomCom
White Squall,1996,129,38,6.4,3445,PG-13,Drama
Wicker Park,2004,114,30,6.4,3143,PG-13,Romance Drama
Your Friends & Neighbors,1998,100,5,6.4,2659,R,Comedy Drama
Air Force One,1997,124,85,6.3,26156,R,Action Drama
American Pie 2,2001,105,30,6.3,22752,R,Comedy
American Wedding,2003,103,55,6.3,13590,R,Comedy
Assault on Precinct 13,2005,109,20,6.3,2960,R,Action Drama
"Badge, The",2002,103,6,6.3,740,R,Action Drama
Bamboozled,2000,135,10,6.3,2356,R,Comedy Drama
"Basket, The",1999,105,3,6.3,200,PG,Drama
Best Laid Plans,1999,92,7,6.3,1795,R,Drama
Blood Work,2002,110,50,6.3,5965,R,Drama
Bride & Prejudice,2004,122,7,6.3,1503,PG-13,RomCom
City by the Sea,2002,108,60,6.3,4886,R,Drama
Crime Spree,2003,98,10,6.3,953,R,Comedy
"Day After Tomorrow, The",2004,124,125,6.3,23749,PG-13,Action Drama
Dead Presidents,1995,119,15,6.3,2641,R,Action Drama
Death to Smoochy,2002,109,55,6.3,8003,R,Comedy
"Defender, The",2004,90,6,6.3,58,R,Action
Dick,1999,94,13,6.3,5004,PG-13,Comedy
Dinosaur,2000,82,127.5,6.3,5839,PG,Animated
Feng yun xiong ba tian xia,1998,85,10,6.3,922,PG-13,Action
Goat on Fire and Smiling Fish,1999,90,0.04,6.3,254,R,RomCom
Guinevere,1999,104,2.6,6.3,804,R,Romance Drama
Hollywood Ending,2002,112,16,6.3,3673,PG-13,Comedy Drama
Kate & Leopold,2001,123,48,6.3,8060,PG-13,RomCom
Keane,2004,100,0.85,6.3,34,R,Drama
Lethal Weapon 4,1998,127,140,6.3,17758,R,Action Comedy
Love Object,2003,88,1,6.3,427,R,Comedy
Lucky Break,2001,108,6,6.3,707,PG-13,Comedy
"Matrix Revolutions, The",2003,125,110,6.3,40058,R,Action
Mindhunters,2004,102,27,6.3,3925,R,Action
Muertos de risa,1999,111,3.5,6.3,334,R,Comedy
My Fellow Americans,1996,101,21.5,6.3,2752,PG-13,Comedy
Nochnoy dozor,2004,115,4.2,6.3,1020,R,Action
O,2001,95,5,6.3,4555,R,Romance Drama
One Eight Seven,1997,119,23,6.3,2958,R,Drama
Onegin,1999,106,14,6.3,1327,R,Romance Drama
Phenomenon,1996,123,32,6.3,12075,PG,Romance Drama
Proof of Life,2000,135,65,6.3,9592,R,Action Drama
"Road to El Dorado, The",2000,89,95,6.3,2838,PG,Animated
Road Trip,2000,94,15.6,6.3,15981,R,Comedy
Rules of Engagement,2000,128,60,6.3,7903,R,Drama
Secret Window,2004,96,40,6.3,13260,PG-13,Drama
Serial Mom,1994,95,13,6.3,4750,R,Comedy
Shanghai Knights,2003,114,50,6.3,7279,PG-13,Action Comedy
"Shot at Glory, A",2000,114,9,6.3,286,R,Drama
Smilla's Sense of Snow,1997,120,35,6.3,3722,R,Action Drama
Solaris,2002,99,47,6.3,11808,PG-13,Romance Drama
Star Trek: Insurrection,1998,103,58,6.3,13395,PG,Action Drama
Starsky & Hutch,2004,101,60,6.3,13529,PG-13,Action Comedy
Super Troopers,2001,100,3,6.3,7728,R,Comedy
Tadpole,2002,78,0.15,6.3,1769,PG-13,RomCom
What Dreams May Come,1998,113,85,6.3,11706,PG-13,Romance Drama
Wimbledon,2004,98,31,6.3,4297,PG-13,RomCom
"Work and the Glory, The",2004,118,7.5,6.3,180,PG,Romance Drama
"World Is Not Enough, The",1999,128,135,6.3,24205,PG-13,Action
"Yards, The",2000,115,20,6.3,3386,R,Drama
Ace Ventura: Pet Detective,1994,86,12,6.2,20705,PG-13,Comedy
Austin Powers in Goldmember,2002,94,63,6.2,22870,PG-13,Action Comedy
Baby Boy,2001,130,16,6.2,1476,R,Romance Drama
"Ballad of Jack and Rose, The",2005,112,1.5,6.2,269,R,Drama
Basic,2003,98,50,6.2,8370,R,Drama
Beavis and Butt-Head Do America,1996,81,12,6.2,9491,PG-13,Animated
Bicentennial Man,1999,132,100,6.2,8925,PG,Romance Drama
"Bone Collector, The",1999,118,48,6.2,17766,R,Drama
But I'm a Cheerleader,1999,85,1.2,6.2,3897,R,RomCom
Can't Hardly Wait,1998,101,10,6.2,8191,PG-13,RomCom
"Chronicles of Riddick, The",2004,135,110,6.2,11438,PG-13,Action
City of Angels,1998,114,55,6.2,15333,PG-13,Romance Drama
"Company, The",2003,112,15,6.2,1505,PG-13,Drama
Don't Say a Word,2001,113,50,6.2,10098,R,Drama
Edtv,1999,122,60,6.2,10085,PG-13,Comedy
Emmett's Mark,2002,104,4.5,6.2,427,R,Drama
Evita,1996,134,55,6.2,8371,PG,Drama
"Four Feathers, The",2002,125,80,6.2,4400,PG-13,Drama
Grumpier Old Men,1995,101,25,6.2,3711,PG-13,RomCom
Hart's War,2002,125,70,6.2,6368,R,Drama
"Heart of Me, The",2002,96,7,6.2,336,R,Romance Drama
Heartbreakers,2001,110,40,6.2,8037,PG-13,RomCom
High Strung,1991,93,0.3,6.2,391,PG,Comedy
I Married a Strange Person!,1997,74,0.25,6.2,391,R,Animated
I'm with Lucy,2002,90,15,6.2,646,R,RomCom
In & Out,1997,92,35,6.2,10352,PG-13,Comedy
Just Looking,1999,97,3,6.2,436,R,Comedy
Kiss of the Dragon,2001,98,25,6.2,7887,R,Action Drama
Love Story,1970,99,2.2,6.2,2844,PG,Romance Drama
Miss Congeniality,2000,109,45,6.2,16235,PG-13,Comedy
Northfork,2003,103,1.9,6.2,1521,PG-13,Drama
Osmosis Jones,2001,95,75,6.2,3410,PG,Animated
Pandaemonium,2000,124,15,6.2,244,PG-13,Drama
"Perfect Storm, The",2000,130,120,6.2,24946,PG-13,Action Drama
"Powerpuff Girls, The",2002,73,10,6.2,1334,PG,Animated
Price of Glory,2000,118,10,6.2,265,PG-13,Drama
Prozac Nation,2001,99,9,6.2,940,R,Drama
"Punisher, The",2004,124,33,6.2,9989,R,Action
"Replacements, The",2000,114,50,6.2,7617,PG-13,Comedy
Resident Evil,2002,100,35,6.2,18978,R,Action
Riding in Cars with Boys,2001,132,48,6.2,4627,PG-13,Comedy Drama
Six-String Samurai,1998,91,2,6.2,1163,PG-13,Action
Snitch,1998,90,11,6.2,412,R,Action Drama
Spun,2002,106,2.8,6.2,3924,R,Comedy Drama
Stark Raving Mad,2002,102,5,6.2,601,R,Comedy
Stolen Summer,2002,91,1.5,6.2,801,PG,Drama
Swordfish,2001,99,80,6.2,20455,R,Action
Tears of the Sun,2003,121,70,6.2,8690,R,Action Drama
Timecode,2000,97,4,6.2,2320,R,Comedy Drama
Tin Cup,1996,135,45,6.2,7521,R,RomCom
"Walk in the Clouds, A",1995,102,20,6.2,4085,PG-13,Romance Drama
Where the Money Is,2000,89,18,6.2,1461,PG-13,Comedy Drama
Where's Marlowe?,1998,97,3.5,6.2,188,R,Comedy
Willard,2003,100,22,6.2,2913,PG-13,Comedy Drama
"Wood, The",1999,102,6,6.2,1170,R,RomCom
